
lru, 569951, 1.060791
lru, 158783, 1.391291
lru, 7, 1.591304
srrip, 531756, 1.081111
srrip, 102988, 1.450477
srrip, 7, 1.591265
brrip, 275236, 1.267779
brrip, 47744, 1.524380
brrip, 66, 1.591192
drrip, 332904, 1.220767
drrip, 52828, 1.517065
drrip, 66, 1.591201
lru, 102493, 1.343983
lru, 102462, 1.342247
lru, 94954, 1.346722
srrip, 102474, 1.343970
srrip, 102467, 1.342355
srrip, 93228, 1.348260
brrip, 100496, 1.344710
brrip, 85734, 1.355631
brrip, 58575, 1.379468
drrip, 102402, 1.343957
drrip, 101934, 1.342721
drrip, 83349, 1.357195
lru, 1270712, 0.911153
lru, 1268927, 0.910084
lru, 1073229, 0.953286
srrip, 1271696, 0.910628
srrip, 1264010, 0.911792
srrip, 1005714, 0.971778
brrip, 1327280, 0.903466
brrip, 1130288, 0.944068
brrip, 734797, 1.077758
drrip, 1273431, 0.910202
drrip, 1133965, 0.942877
drrip, 743578, 1.072521
